Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
237.0917,2.75,,,,,,460705.9143,,,,,,,,32508662.64,6592639.608,,,,254058.6654,,,375605.7692,285465.2406,315884.1363,507352.4434,,,46920652.31,4331422.979,6165896.952,3087209.02,,,5828617.706,5599651.057,5927298.183,6573954.747,37694745.93,37204080.59
101.1209,0.72,29243318.78,86957830.83,40141091.06,11243186.17,9518029.825,7063134.514,4557681.181,,58901931.67,7267849.679,6727219.769,4348467.599,9494321.336,10089215.84,,11274398.02,7221870.962,7791619.683,5756602.399,11789312.33,10455650.96,38639535.08,6564694.746,4601525.006,6070002.174,9182363.809,5229956.431,16536062.45,12166452.11,9129822.857,11383541.21,9509424.545,10553410.67,45428968.54,45039606.63,36844394.99,43465048.07,43281595.5,42894786.13
220.1038,2.81,,,,260425.4244,,,,,73861263.33,67713732.05,65221480.47,76381699.34,63774313.09,,64484036.69,50602324.67,55646068.97,55208344.14,775187.5558,,,,68716.11438,,,53665480.57,61014879.02,60708376.49,57479252.54,52688891.15,60498933.68,61119815.78,54154676.61,54706621.83,54263705.16,50667450.68,49817154.33,48805049.55,48653615.46
612.1532,1.1,33837.8942,35557.92129,31561.4992,44565606.13,64107117.73,46988772.56,52760940.25,51958546.39,69393960.11,75401327.73,69578904.79,74177923.09,70543389.32,76769015.33,69501700.13,71728817.41,63697249.41,75071057.21,60270891.04,53603209.84,59075837.49,33525885.32,59337066.2,63292019.93,67973166.44,63522108.87,67361384.31,62483579.21,61488767.17,71469742.42,68003405.84,81774685.44,67247843.23,63801509.83,64019530.33,64852410.16,66018359.64,66081061.23,66716160.8
239.0899,2.74,86234.60538,103517.4605,110565.9055,162288.4043,111792.0504,191143.679,104592.2708,94655.55591,67747054,63293498.72,,73116179.61,67736416.63,43762283.39,60284594.56,45332809.56,49264393.7,56843200.5,80144.06462,90238.72303,107083.7458,180901.5151,,125748.9842,167322.3069,59633824.31,67309004.04,63414271.32,61424478.27,61118381.45,64612869.16,65985024.82,,57151521.44,56657371.79,53996615.76,53475908.43,52695902.88,52715234.4
292.1251,3,,,,,,,,,46642172.38,35582625.52,10531622.16,55159486.44,65532298.79,63958171.28,35471314.04,41046989.38,30479256.11,39915543.83,,,,,,,,23003464.9,29221799.08,19272803.79,27443862.85,39835733.06,45525811.76,49638882.86,38441318.47,25862171.03,25998942.6,25513343.54,25378377.81,25064941.39,25210026.93
379.2111,2.62,45082142.57,45109382.49,45530323.45,41166987.66,41036222.72,41849433.09,42243359.47,42083782.99,41927231.67,41354992.09,46305373.97,40882970.81,47690003.59,43735917.27,42021862.84,42170749.34,42942778.58,42782263.85,43042657.37,43127201.22,45687176.28,44871862.35,43047564.8,44431870.39,45056700.82,43380448.19,44844600.78,43253386.15,44260773.8,42817680.64,43007271.43,45612850.15,43128156.6,43611937.96,43512011.36,43508120.06,43511748.48,43505725.35,43277909.57
203.1162,0.59,,,,52101775.7,65082597.08,50734842.36,52512364.87,35018519.12,38924688.63,42299457.54,43715086.9,45250794.26,47593010.85,59571740.92,37097610.12,44026878.13,36312808.95,41275565.27,49961812.62,50570219.29,50415646.93,51138869.71,51427476.8,63822472.05,61057107.5,39732051.13,43442829.26,53617562.92,54324743.17,46433780.64,54534968.55,54830492.48,54484539.42,51588073.86,52089543.61,49370041.27,48731764.55,48245015.69,47063439.13
267.0971,1.29,62646.67018,95989.60093,43875.68105,30983852.61,37452203.98,35775934.46,34686335.25,32215211.15,37341200.5,39105855.19,41065677.29,42989320.03,43185610.38,36539730.54,33078777.71,31432182.91,27871700.93,34082919.18,33377049.81,32228013.01,31413306.62,,29538475.44,37677842.29,37885161.12,33166037.04,35985507.31,35959736.85,33934857.6,38382215.08,36819712.44,42400078.49,35600545.72,34789867.01,35075068.5,35711656.59,36443332.49,36692377.82,36922069.81
103.0999,0.4,365986.6428,589468.1743,448749.4868,29863646.51,32749333.1,28057708.75,31660916.85,29780250.38,43092749.95,39912041.16,36416192.28,42863842.96,40864242.97,46453605.79,43780744.81,37260579.45,36180626.15,43028434.62,37490719.58,40399504.22,32522655.56,36345477.21,51257256.76,36802324.6,41116146.59,34172546.37,32810163.22,32863544.13,34677351.83,35083668.26,40514442.7,41740794.86,37041157.64,41191214.69,40772950.1,37956397.29,35707496.79,35472484.3,36286749.58
206.0505,2.72,,,,,,,,,16989321.59,15291478.61,14041217.89,18408913.14,15363743.3,44188052.31,24377329.15,22341761.78,24164249.16,23464368.01,79581.88892,,,,,,,16482746.56,16506367.5,15966875.98,20082410.59,25076733.01,21350377.55,32589751.37,20746931.21,18012354.99,18015996.08,17508664.43,17392562.37,17260505.41,17247056.61
615.1698,4.9,19131.3549,,15367.98624,828066.4904,644755.3101,83578.64368,447520.6395,148076.6102,816013.9214,4168293.724,150034.7309,222699.8898,193894.0885,26661513.69,753103.9355,996548.8329,754728.7354,299183.5212,1701840.516,10942764.48,3659306.781,12950028.48,3413499.223,614274.9422,1219933.39,13717318.88,3732332.987,1692588.002,3153588.841,15716377.75,37376533.79,6929313.244,5486354.528,1728569.744,1676354.393,1547250.659,1578723.081,1555965.941,1487125.326
136.039,0.77,,,,18446971.26,26410164.54,18096966.23,22491002.08,19033688.45,33053175.56,32871900.1,26414194.28,35013222.19,37504890.57,33094972.71,23405078.69,18655025.2,20198448.31,28567163.61,22582871.06,19457821.37,16195746.62,22017812.42,39330372.68,20461778.02,18035233.58,13267331.02,13213679.66,12908044.77,9564455.298,12826714.14,15341100.24,22973023.63,14903965.04,23466338.26,23428750.28,23560474.99,23762475.43,24073763.86,24465473.13
122.0483,0.73,33816.46107,24435.66454,30915.90967,25692493.83,31732464.46,27085956.65,28121401.73,17089846.64,33138134.94,39007935.01,36475610.51,38144789.92,37448438.66,39409181.77,27272607.23,35499405.44,32117128.14,37370951.66,29503731.96,29347264.17,29484341.32,27221879.07,,31229753.76,35897354.78,33677662.9,35207501.13,31881878.83,30642393.48,34102305.61,32715529.81,39366494.13,33146602.93,31183090.38,31207733.37,30608570.52,31088436.4,31852487.79,32672455.45
187.0636,2.07,,,114078.0217,16186690.79,22667750.91,17112079.59,18853784.61,19283083.34,25315831.07,29490803.68,27914761.26,30039376.9,31149163.57,20954939.3,23023711.99,19432153.79,15049539,24996998.12,22113439.87,18208908.88,21731746.86,12942437.04,25576314.23,27273358.69,26565000.46,16369153.02,21530984.3,20023069.76,19766111.56,27915047.29,25306455.53,29379550.93,26658479.9,22374881.91,22247564.91,23223709.86,24024121.96,24474183.74,24019178.53
131.0951,1.04,63511.42011,331957.677,167530.7301,21160810.31,27700942.38,23191879.81,23791179.09,21826943.29,28174301.61,31776235.28,28499331.18,30623504.23,,22602499.61,22686823.8,17582265.21,18868192.28,24025664.71,26627045.63,24723071.61,26554234.28,23447022.41,30671474.82,29334622.14,27712677.77,21106869.39,19671924.8,7519930.906,19290742.31,24594398.43,25142259.67,27323172.72,25297434.87,24425113.05,24720945.62,25314497.65,26894633.73,26660243.6,26297172.9
165.0792,1.59,33301.99349,117839.4709,102301.6377,19245961.22,24107308.05,20681551.14,21128213.9,20918132.26,25539598.72,28840203.41,25741120.45,27838331.98,28679160.82,20540610.23,21050247.93,17315720.39,15753497.61,21448371.22,22775155.69,20401206.27,22509229.79,20082045.94,25428631.11,25950200.55,24496509.38,19512136.92,20532052.42,19587999.19,18904248.37,24540226.22,23384316.61,25394008.73,23388617.98,22297331.97,22376832.26,23199815.44,23549045.77,23865416.06,23390141.26
231.1473,1.7,41206.92118,38695.48329,30544.46957,13042324.2,18432529.75,9871580.461,15382354.05,14015830.32,12957271.96,23930673.63,22076788.73,23194117.85,24106178.69,22345895.25,18861283.37,8804159.559,14839039.96,12335174.98,14478579.71,9787823.943,12567456.87,12414672.9,5718187.284,6982974.061,8677515.831,9236991.901,11757408.15,13396275.98,24217399.63,20815712.98,30758025.95,24041359.29,28498849.8,17885251.63,17756336.39,17834764.64,18150749.64,18200455.27,17646643.15
