mass_Rt,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
220.1038_2.81,260425.4244,,,,,73861263.33,67713732.05,65221480.47,76381699.34,63774313.09,,64484036.69,50602324.67,55646068.97,55208344.14,775187.5558,,,,68716.11438,,,53665480.57,61014879.02,60708376.49,57479252.54,52688891.15,60498933.68,61119815.78,54154676.61,54706621.83,54263705.16,50667450.68,49817154.33,48805049.55,48653615.46
612.1532_1.1,44565606.13,64107117.73,46988772.56,52760940.25,51958546.39,69393960.11,75401327.73,69578904.79,74177923.09,70543389.32,76769015.33,69501700.13,71728817.41,63697249.41,75071057.21,60270891.04,53603209.84,59075837.49,33525885.32,59337066.2,63292019.93,67973166.44,63522108.87,67361384.31,62483579.21,61488767.17,71469742.42,68003405.84,81774685.44,67247843.23,63801509.83,64019530.33,64852410.16,66018359.64,66081061.23,66716160.8
239.0899_2.74,162288.4043,111792.0504,191143.679,104592.2708,94655.55591,67747054.0,63293498.72,,73116179.61,67736416.63,43762283.39,60284594.56,45332809.56,49264393.7,56843200.5,80144.06462,90238.72303,107083.7458,180901.5151,,125748.9842,167322.3069,59633824.31,67309004.04,63414271.32,61424478.27,61118381.45,64612869.16,65985024.82,,57151521.44,56657371.79,53996615.76,53475908.43,52695902.88,52715234.4
292.1251_3.0,,,,,,46642172.38,35582625.52,10531622.16,55159486.44,65532298.79,63958171.28,35471314.04,41046989.38,30479256.11,39915543.83,,,,,,,,23003464.9,29221799.08,19272803.79,27443862.85,39835733.06,45525811.76,49638882.86,38441318.47,25862171.03,25998942.6,25513343.54,25378377.81,25064941.39,25210026.93
203.1162_0.59,52101775.7,65082597.08,50734842.36,52512364.87,35018519.12,38924688.63,42299457.54,43715086.9,45250794.26,47593010.85,59571740.92,37097610.12,44026878.13,36312808.95,41275565.27,49961812.62,50570219.29,50415646.93,51138869.71,51427476.8,63822472.05,61057107.5,39732051.13,43442829.26,53617562.92,54324743.17,46433780.64,54534968.55,54830492.48,54484539.42,51588073.86,52089543.61,49370041.27,48731764.55,48245015.69,47063439.13
267.0971_1.29,30983852.61,37452203.98,35775934.46,34686335.25,32215211.15,37341200.5,39105855.19,41065677.29,42989320.03,43185610.38,36539730.54,33078777.71,31432182.91,27871700.93,34082919.18,33377049.81,32228013.01,31413306.62,,29538475.44,37677842.29,37885161.12,33166037.04,35985507.31,35959736.85,33934857.6,38382215.08,36819712.44,42400078.49,35600545.72,34789867.01,35075068.5,35711656.59,36443332.49,36692377.82,36922069.81
103.0999_0.4,29863646.51,32749333.1,28057708.75,31660916.85,29780250.38,43092749.95,39912041.16,36416192.28,42863842.96,40864242.97,46453605.79,43780744.81,37260579.45,36180626.15,43028434.62,37490719.58,40399504.22,32522655.56,36345477.21,51257256.76,36802324.6,41116146.59,34172546.37,32810163.22,32863544.13,34677351.83,35083668.26,40514442.7,41740794.86,37041157.64,41191214.69,40772950.1,37956397.29,35707496.79,35472484.3,36286749.58
206.0505_2.72,,,,,,16989321.59,15291478.61,14041217.89,18408913.14,15363743.3,44188052.31,24377329.15,22341761.78,24164249.16,23464368.01,79581.88892,,,,,,,16482746.56,16506367.5,15966875.98,20082410.59,25076733.01,21350377.55,32589751.37,20746931.21,18012354.99,18015996.08,17508664.43,17392562.37,17260505.41,17247056.61
615.1698_4.9,828066.4904,644755.3101,83578.64368,447520.6395,148076.6102,816013.9214,4168293.724,150034.7309,222699.8898,193894.0885,26661513.69,753103.9355,996548.8329,754728.7354,299183.5212,1701840.516,10942764.48,3659306.781,12950028.48,3413499.223,614274.9422,1219933.39,13717318.88,3732332.987,1692588.002,3153588.841,15716377.75,37376533.79,6929313.244,5486354.528,1728569.744,1676354.393,1547250.659,1578723.081,1555965.941,1487125.326
136.039_0.77,18446971.26,26410164.54,18096966.23,22491002.08,19033688.45,33053175.56,32871900.1,26414194.28,35013222.19,37504890.57,33094972.71,23405078.69,18655025.2,20198448.31,28567163.61,22582871.06,19457821.37,16195746.62,22017812.42,39330372.68,20461778.02,18035233.58,13267331.02,13213679.66,12908044.77,9564455.298,12826714.14,15341100.24,22973023.63,14903965.04,23466338.26,23428750.28,23560474.99,23762475.43,24073763.86,24465473.13
122.0483_0.73,25692493.83,31732464.46,27085956.65,28121401.73,17089846.64,33138134.94,39007935.01,36475610.51,38144789.92,37448438.66,39409181.77,27272607.23,35499405.44,32117128.14,37370951.66,29503731.96,29347264.17,29484341.32,27221879.07,,31229753.76,35897354.78,33677662.9,35207501.13,31881878.83,30642393.48,34102305.61,32715529.81,39366494.13,33146602.93,31183090.38,31207733.37,30608570.52,31088436.4,31852487.79,32672455.45
187.0636_2.07,16186690.79,22667750.91,17112079.59,18853784.61,19283083.34,25315831.07,29490803.68,27914761.26,30039376.9,31149163.57,20954939.3,23023711.99,19432153.79,15049539.0,24996998.12,22113439.87,18208908.88,21731746.86,12942437.04,25576314.23,27273358.69,26565000.46,16369153.02,21530984.3,20023069.76,19766111.56,27915047.29,25306455.53,29379550.93,26658479.9,22374881.91,22247564.91,23223709.86,24024121.96,24474183.74,24019178.53
131.0951_1.04,21160810.31,27700942.38,23191879.81,23791179.09,21826943.29,28174301.61,31776235.28,28499331.18,30623504.23,,22602499.61,22686823.8,17582265.21,18868192.28,24025664.71,26627045.63,24723071.61,26554234.28,23447022.41,30671474.82,29334622.14,27712677.77,21106869.39,19671924.8,7519930.906,19290742.31,24594398.43,25142259.67,27323172.72,25297434.87,24425113.05,24720945.62,25314497.65,26894633.73,26660243.6,26297172.9
165.0792_1.59,19245961.22,24107308.05,20681551.14,21128213.9,20918132.26,25539598.72,28840203.41,25741120.45,27838331.98,28679160.82,20540610.23,21050247.93,17315720.39,15753497.61,21448371.22,22775155.69,20401206.27,22509229.79,20082045.94,25428631.11,25950200.55,24496509.38,19512136.92,20532052.42,19587999.19,18904248.37,24540226.22,23384316.61,25394008.73,23388617.98,22297331.97,22376832.26,23199815.44,23549045.77,23865416.06,23390141.26
231.1473_1.7,13042324.2,18432529.75,9871580.461,15382354.05,14015830.32,12957271.96,23930673.63,22076788.73,23194117.85,24106178.69,22345895.25,18861283.37,8804159.559,14839039.96,12335174.98,14478579.71,9787823.943,12567456.87,12414672.9,5718187.284,6982974.061,8677515.831,9236991.901,11757408.15,13396275.98,24217399.63,20815712.98,30758025.95,24041359.29,28498849.8,17885251.63,17756336.39,17834764.64,18150749.64,18200455.27,17646643.15
307.0845_0.65,4598298.745,15437842.55,15705372.94,12193769.26,2597761.313,12497295.84,13965636.79,7564522.068,15996266.63,18314110.2,15627303.87,7884647.425,14359428.72,12310460.46,14699681.28,9074880.361,10465768.7,4659428.393,26968510.57,7317140.205,7958966.149,12323906.51,9125707.718,6223996.411,10336731.52,8155909.301,1937912.61,9151864.277,5182550.029,9106528.931,10700361.11,10828551.33,10661087.8,10864824.67,11154665.3,11800838.38
136.0389_1.35,17647823.54,20877310.42,17826887.16,19394675.93,20599747.36,24891315.37,22646731.52,20167556.85,26406138.56,26816299.17,26337887.13,19297438.95,15339593.65,17293759.61,21485876.9,17098687.39,14291292.36,13224848.16,19904166.64,26720158.04,15426288.35,12339638.31,11067058.94,9990063.386,9733822.709,8554350.657,12176194.38,13524917.55,17918574.81,12358221.14,18990908.44,19107100.96,19774749.61,20353791.41,20124719.36,20526115.09
222.0454_1.8,,,,,,2045144.153,509293.0872,354861.5172,882269.898,462059.4391,25013355.32,2636994.788,6135758.802,3906162.426,3777849.886,,,,,,,,791945.8666,560841.9305,836813.7336,2045182.367,4242905.592,2479464.114,6767371.859,2224332.431,3388428.195,3408698.194,3513587.874,3516068.32,3542222.935,3519572.168
131.07_0.43,18252440.1,25055706.91,20970222.22,21753319.89,18557944.87,18651997.94,20697226.88,19632550.14,22406106.92,20901256.35,17132854.37,17354385.25,13667927.24,13832215.29,14211614.86,21801099.87,20261606.51,20997636.66,18040204.65,20071016.18,15900912.19,19041155.25,16339774.45,17956189.42,16307820.01,16822777.91,18403024.39,15360177.57,17763120.42,11657632.75,18923309.15,18845198.92,18630491.15,18391342.76,18283798.78,18246938.94
117.0794_0.53,12545120.11,16936243.85,14658597.17,13252155.38,12812743.66,17587126.43,19208291.63,17087344.31,18026100.24,22360858.12,12836151.34,14370434.58,10093663.09,10932349.79,13851538.84,14754752.82,14593000.36,14836816.52,14002603.32,18021446.71,18344955.96,15930041.84,12540113.21,12487029.58,11877509.53,11577689.51,18019589.01,14625107.67,16648680.52,15829792.22,15830225.77,15001945.34,16985044.14,15478233.18,15542335.37,15551642.99
164.047_0.97,14365533.78,18720861.37,15772128.53,12481968.74,12924070.07,17154269.07,20395131.68,20213425.84,21078680.71,21594112.96,9474744.56,11191098.71,8952770.841,9439435.011,12051718.38,17311921.65,15214410.34,17663801.16,12547807.87,19484278.63,18851300.13,16184188.23,8785063.026,12420922.11,8193881.175,8091218.396,13910776.76,10593845.32,14949525.46,14261447.37,14147912.74,14159617.84,14501276.83,14803356.18,15184646.45,15538983.49
102.0469_1.59,12394486.65,16890513.66,13538498.22,14034177.95,13944979.96,18065688.54,21205057.87,18197946.75,19947413.55,20793319.9,13587240.57,14011255.63,10924988.82,9701157.209,14221532.69,15469822.9,13508700.15,15254813.36,13198976.01,18093686.9,18166637.97,16920011.0,12612326.08,13519924.05,12762442.61,12194222.02,16999584.76,16214965.25,17988087.88,16009684.11,15105205.72,15248480.95,15838776.85,16213746.47,16397233.8,16205183.64
442.2254_4.76,,,,,,,,,,,,,,,31090.72498,,,,,,,,44717.91935,20722937.52,,98384.6113,,45254.80813,,,757367.5288,742746.242,720015.25,692988.4479,634102.5981,631157.1803
292.1254_3.26,,,,,,10609273.67,9050804.835,2655919.958,13325739.12,16726529.74,17873691.62,8742468.203,7463517.41,6841400.05,7491166.503,,,,,,,,4078492.102,5053935.553,3377324.392,4067656.545,5095060.409,7288649.071,9629347.708,5565255.083,5171112.524,5153343.974,5003203.182,5030215.207,4933955.836,4994527.442
219.111_1.86,5378654.998,10988144.55,6764999.851,7145566.556,6614423.229,13765209.22,15241818.86,11387616.9,15840965.98,13420423.95,8938279.801,9051435.48,6822699.307,5362237.702,8719703.369,15713982.58,12906772.68,13409908.55,14194718.49,16200507.41,11742648.52,14721181.5,12414216.65,16978245.07,14146873.13,10731117.85,12419568.04,11019803.63,14899707.77,11327581.6,12183723.58,12210534.48,12029393.11,12140383.53,12103827.17,11849456.32
159.1261_0.53,7642942.917,12444368.27,9221831.207,9753980.266,8584748.982,15493948.81,13682639.09,13231242.27,15835118.33,13559666.49,14190160.59,13679951.76,14718419.26,9739119.883,16854735.82,15200337.0,14387939.71,14205526.21,14849392.46,16301697.72,11488590.96,15426882.76,12600984.79,13128426.07,11614421.51,13699751.19,14531534.63,13928088.47,15217652.91,12267429.12,13973740.2,13888080.13,14029836.58,13371463.18,13312400.88,13164423.13
208.0479_2.72,,,,,,5184504.216,4678899.212,4264513.796,5624439.635,4705797.074,16977996.86,7470055.5,7025341.581,7662191.045,7322171.356,23891.16478,,,,,,,5121082.112,5068943.612,4852906.209,6189463.853,7824129.335,6561777.857,10275686.0,6425274.108,5579523.143,5526574.091,5413251.103,5398006.379,5428807.181,5365187.653
276.0937_3.99,,,,,,4941605.703,7837512.753,3158309.047,9047130.567,9179674.482,15281901.05,4400824.724,5615353.34,3058675.253,7728982.889,,,,59208.54806,,,,3054673.274,5916743.103,2161807.118,1680597.165,2068108.785,3280910.047,8239938.711,2876588.521,3415981.583,3422012.681,3351045.989,3343673.286,3299998.987,3334692.419
85.0895_1.04,9771206.881,14355735.81,10996633.92,10704376.94,10156862.62,13895824.09,,,,,10896376.04,10140257.67,7748772.068,7865914.629,11161389.87,13584623.02,12057061.81,13515860.25,11098932.27,16563835.49,14586644.22,13399396.15,9893639.792,8978453.432,8920112.369,8648908.664,12191412.25,12464525.57,13585355.62,11939441.13,11957683.9,11377954.28,12724417.12,12822401.73,12977288.54,12629060.67
118.0283_1.29,8168594.965,12040711.77,11279090.1,10616448.72,9041814.861,11833533.88,13629468.37,14346864.45,935129.473,1600948.228,11795223.62,9312606.347,8824373.589,6863209.474,10145342.07,9996097.256,8869891.715,8884211.561,3454005.573,706353.2418,12474523.71,12350861.76,9587996.44,11397639.29,11324044.85,9855857.637,12764201.97,11490445.08,15564160.4,10980720.03,10127763.27,10327818.91,10958413.22,11761600.91,12205684.61,12250018.02
115.0638_0.43,12920952.08,15359677.49,12388377.41,10931651.63,9627499.706,11898355.71,13303257.0,12583627.86,14559808.94,13819208.74,5406186.328,7360683.209,4577662.011,8690746.022,5830347.44,12943906.16,14010136.23,12887779.73,10130507.96,13545578.61,11127312.21,11216118.12,8305871.309,8516430.613,6852033.169,8640294.27,12813639.16,10915676.76,11046856.98,9055020.66,11284752.88,11306253.33,11238349.61,11053377.7,10856578.89,10786104.68
253.0871_3.94,,,,,,8722143.344,7598018.004,5096538.419,13293081.3,6134187.282,7318845.325,9063498.835,2955845.218,6676193.057,7246156.239,,,,,,,,11495483.06,10277047.68,7522145.516,5180559.026,7912148.725,6300390.753,13986257.52,6567173.269,5023353.803,4977083.997,4895061.235,4882785.542,4880182.346,4933673.757
217.1318_1.16,3675767.673,6033238.413,3697289.302,4523546.045,4715164.025,4823149.459,6248789.283,7084739.548,5335084.301,7420941.324,2946160.774,5206226.943,3378591.565,2234048.069,4512451.477,4979066.438,3136850.941,4082926.05,3985350.873,4997363.398,3688134.397,3693712.525,3991607.955,4213403.667,2983376.751,7533971.355,7579848.884,13941834.64,6779632.35,10929749.85,5542398.036,5515104.645,5467064.887,5423778.248,5386561.246,5396953.819
247.1426_0.81,4757509.174,10975994.07,4088193.623,6484178.673,3563860.586,3619128.458,4225655.019,4122497.675,4056029.77,5765820.149,3546985.989,2130095.35,3516748.496,1715678.477,4458999.83,6007429.259,6275841.552,6407968.134,7111728.081,7084414.579,13904184.32,9345240.603,3642416.928,4147006.4,5259972.033,4196438.203,3071545.001,6014989.989,5150264.284,5261807.196,5100669.176,5129634.893,4994053.831,4907113.305,4785818.371,4906563.848
